Một chút thôi.	一下
Bản phối	混音
Chết đuối	淹死
Ngập lụt	淹没
Thêm vào đó	添加
Mua sắm	添置
Giải phóng mặt bằng	清仓
Giải quyết dứt điểm	清偿
Giải phóng mặt bằng	清关
Kiểm kê	清册
Thanh mát	清凉
Dọn dẹp, trấn áp	清剿
Danh sách	清单
Giải phóng mặt bằng	清场
Kiyosaki	清崎
Dọn dẹp	清扫
Tươi mới	清新
Rõ ràng	清晰
Kiểm kê	清查
Rõ ràng là	清楚
Làm sạch	清洁
Làm sạch	清洗
Chất lỏng trong	清液
Nhẹ nhàng	清淡
Vecni	清漆
Trong sáng	清澈
Kiểm kê	清点
Làm mới	清爽
Dọn dẹp	清理
Vô tội	清白
Thanh lý	清盘
Dọn sạch	清空
Thanh lý	清算
Thanh Mai	清迈
Vận chuyển thông thoáng	清运
Rượu sake	清酒
Tỉnh táo	清醒
Giải phóng mặt bằng	清除
Dọn sạch	清零
Nguồn gốc	渊源
Tình trạng vô hiệu hóa nhiệm vụ	渎职
Sự thay đổi dần dần	渐变
Dần dần vươn lên	渐起
Xa dần	渐远
Thủy sản	渔业
Ngư lưới cụ	渔具
Khu vực đánh bắt	渔区
Ngư trường	渔场
Ngư dân	渔夫
Người đánh cá	渔工
Làng chài	渔村
Ngư dân	渔民
Lưới đánh cá	渔网
Tàu cá	渔船
Sản lượng đánh bắt	渔获
Máy đo độ thẩm thấu	渗仪
Xâm nhập vào	渗入
Thấm ra ngoài	渗出
Sự thấm	渗流
Rò rỉ	渗漏
Sự thâm nhập	渗透
Các kênh	渠道
Bến phà	渡口
Cầu máng dẫn nước	渡槽
Vượt sông	渡河
Phà	渡船
Phà	渡轮
Chất thải	渣土
Dầu cặn	渣油
Cặn bã	渣滓
Nhẹ nhàng	温和
Winnie.	温妮
Nhà kính	温室
Ôn Châu	温州
Điểm nóng	温床
Nhiệt độ	温度
Wins.	温斯
Ấm áp	温暖
Nhẹ nhàng	温柔
Wenger	温格
Nước ấm	温水
Suối nước nóng	温泉
Vịnh Ôn	温湾
Ấm áp	温热
Mùa đông	温特
Winner.	温纳
Wentz	温茨
Windsor	温莎
Wendy.	温迪
Winton	温顿
Bên trong cảng	港内
Khu vực cảng	港区
Các cảng biển	港口
Bến cảng	港湾
Kết xuất	渲染
Mong muốn	渴望
Khát vọng	渴求
Lụa tóc	游丝
Khách du lịch	游人
Lực lượng kiểm lâm	游侠
Bơi lội	游动
Khách du lịch	游客
Du ngoạn	游弋
Trò chơi	游戏
Những kẻ lang thang	游民
Bơi lội	游泳
Săn bắn	游猎
Chơi vơi	游玩
Tàu du lịch	游船
Du thuyền	游艇
Lang thang	游荡
Cuộc diễu hành	游行
Các tour du lịch	游览
Ghi chú du lịch	游记
Vận động hành lang	游说
Đi lang thang	游走
Tàu du lịch	游轮
Bơi qua	游过
Nhỏ bé.	渺小
Sự mỏng manh	渺茫
Sự hỗn loạn	湍流
Trong hồ	湖中
Lakers	湖人
Khu vực hồ	湖区
Cung điện Hồ	湖宫
Nước hồ	湖水
Các hồ	湖泊
Bên bờ hồ	湖滨
Bên bờ hồ	湖畔
Bên hồ nước	湖边
Trong hồ nước	湖里
Mặt hồ	湖面
Vùng Vịnh	湾区
Đất ngập nước	湿地
Khăn ướt	湿巾
Độ ẩm	湿度
Độ ẩm	湿气
ẩm ướt	湿润
Bệnh chàm	湿疹
Quần áo ướt sũng	湿衣
ướt sũng	湿透
Vỡ đập	溃坝
Mưng mủ	溃烂
Vết loét	溃疡
Thất bại	溃败
Nguồn gốc	源头
Nguồn cội	源泉
Nguồn cội	源流
Có nguồn gốc từ	源自
Trượt băng	溜冰
Trượt đi	溜走
Trượt đi	溜达
Mức phí bảo hiểm	溢价
Tràn lan	溢出
Sự cố tràn dầu	溢油
Sự cố tràn	溢漏
Sự vượt quá	溢额
Nước suối	溪水
Dòng suối	溪流
Truy tìm nguồn gốc	溯源
Bromobenzene	溴苯
Amoni bromide	溴铵
Dung môi	溶剂
Tính hòa tan	溶性
Giải pháp	溶液
Chất hòa tan	溶物
Sol	溶胶
Tan máu	溶血
Hòa tan	溶解
Chết đuối	溺亡
Chết đuối	溺水
Hương vị	滋味
Những phiền toái	滋扰
Zi Zi Zi	滋滋
Sinh sôi nảy nở	滋生
Sinh trưởng và phát triển	滋长
Trượt ngã	滑倒
Trượt băng	滑冰
Trượt	滑动
Thanh trượt	滑块
Sạt lở đất	滑坡
Trượt đầu	滑头
Thanh trượt	滑条
Ván trượt	滑板
Cầu trượt	滑梯
Trượt nước	滑水
Bột talc	滑石
Trượt	滑移
Buồn cười	滑稽
Dây thòng lọng	滑索
Lướt qua	滑翔
Trượt xuống	滑落
Lướt qua	滑行
Ròng rọc	滑轮
Trượt qua	滑过
Đường trượt	滑道
Trượt tuyết	滑雪
Bếp ăn	滚刀
Lăn	滚动
Con lăn	滚子
Ra khỏi đây ngay.	滚开
Cuồn cuộn	滚滚
Đá lăn	滚石
Con lăn	滚筒
Tàu lăn bánh	滚船
Lăn xuống	滚落
Lăn lộn	滚转
Con lăn	滚轮
Con lăn	滚轴
Sự tụt hậu	滞后
Bị mắc kẹt	滞留
Lạm phát đình trệ	滞胀
Điểm tuyệt đối	满分
Toàn bộ nhân viên	满员
Sự hài lòng	满意
Trăng tròn	满月
Hết hạn	满期
Mãn Châu	满洲
Một cú đánh lớn	满贯
Sự hài lòng của	满足
Đầy tải	满载
Toàn bộ số tiền	满额
Tấm lọc	滤板
Bộ lọc	滤池
Nang trứng	滤泡
Lọc	滤波
Dịch lọc	滤液
Hạt lọc	滤粒
Giấy lọc	滤纸
Bộ lọc	滤镜
Bánh lọc	滤饼
Xâm phạm bừa bãi	滥伤
Giết người bừa bãi	滥杀
Lạm dụng	滥用
Dịch bừa bãi	滥译
Vùng ven biển	滨海
Thuốc nhỏ giọt	滴剂
Chuẩn độ	滴定
Hiệu giá	滴度
Nước nhỏ giọt	滴水
Đánh dấu	滴答
Nhỏ giọt	滴落
Xinh đẹp	漂亮
Lang thang	漂泊
Trôi dạt	漂流
Nổi	漂浮
Tẩy trắng	漂白
Sự trôi dạt	漂移
Lưới trôi nổi	漂网
Bàn chải sơn mài	漆刷
Đồ sơn mài	漆器
Cây sơn tra	漆树
Tối đen như mực	漆黑
Rò rỉ vết cắt	漏切
Thìa bị rò rỉ	漏勺
Phễu	漏斗
Rò rỉ nước	漏水
Sự cố tràn dầu	漏油
Lỗ hổng	漏洞
Những điểm còn thiếu	漏点
Các cuộc diễn tập	演习
Chương trình biểu diễn	演出
Sự tiến hóa	演化
Diễn biến	演变
Diễn viên	演员
Tiếng hát	演唱
Phát huy tác dụng	演奏
Diễn xuất	演戏
Kỹ năng diễn xuất	演技
Các cuộc biểu tình	演示
Tính toán	演算
Cuộc diễn tập	演练
Khấu trừ	演绎
Bài phát biểu của	演讲
Bài phát biểu	演说
Diễn biến	演进
Sự thờ ơ	漠视
Vòng xoáy	漩涡
Marvel	漫威
Dạo một vòng	漫步
Chuyển vùng	漫游
Dài hạn	漫漫
Truyện tranh	漫画
Dài đằng đẵng.	漫长
Sang trọng	潇洒
Phương Nga	潘恩
Pandey	潘迪
Ẩn nấp	潜伏
Lẻn vào	潜入
Tiềm năng	潜力
Lặn biển	潜水
Tiềm năng	潜能
Tàu ngầm	潜艇
Liriomyza	潜蝇
Lặn lội	潜行
Bỏ trốn	潜逃
Chim loon	潜鸟
Người dân thời thượng	潮人
Thủy triều	潮水
Thủy triều	潮汐
Xu hướng	潮流
ẩm ướt	潮湿
Cơn bốc hỏa	潮热
Làm rõ	澄清
đang dâng trào	澎湃
Nhà tắm	澡堂
Đồng đô la Úc	澳元
Điểm của Australia	澳分
Đồng tiền Úc	澳币
Úc	澳洲
Giải Australia mở rộng	澳网
Hãng hàng không Qantas	澳航
Ma Cao	澳门
Laser	激光
Sôi động	激动
Khuyến khích	激励
Tăng cường	激化
Khơi dậy tinh thần	激发
Sự bùng nổ	激增
Bực tức	激怒
Niềm đam mê	激情
Giao tranh ác liệt	激战
Kích hoạt	激活
Dòng nước chảy xiết	激流
Quyết liệt	激烈
Hormone	激素
Giật mình	激荡
Cấp tiến	激进
Nguy cấp	濒危
Thác nước	瀑布
Cây bụi	灌丛
Cây bụi	灌木
Tưới tiêu	灌水
Vữa vữa	灌浆
Thủy lợi	灌溉
Slam dunk	灌篮
Làm đầy	灌装
Truyền dạy	灌输
Trên đám cháy.	火上
Ngọn lửa rực sáng	火光
Hỏa lực	火力
Đám cháy	火势
Hỏa táng	火化
Khu vực cháy	火区
Cháy để bán	火卖
Súng cầm tay	火器
Vòng tròn lửa	火圈
Hiện trường vụ cháy	火场
Hố lửa	火坑
Núi lửa	火山
Đạn lửa	火弹
Ngọn đuốc	火把
Sao Hỏa	火星
Súng hỏa mai	火枪
Những trận đấu	火柴
Biển lửa	火海
Vụ cháy	火灾
Bếp lửa	火炉
Ngọn đuốc	火炬
Pháo binh	火炮
Ngọn lửa bùng cháy dữ dội	火烧
Nóng bỏng	火热
Ngọn lửa	火焰
Nóng bỏng	火爆
Vòng lửa	火环
Quả cầu lửa	火球
Lò sưởi	火盆
Đá lửa	火石
Thần lửa	火神
Ngọn lửa bùng cháy	火种
Tên lửa	火箭
Tuyến lửa	火线
Thịt nguội	火腿
Lễ hội lửa	火节
Những tia lửa	火花
Ngọn lửa	火苗
Thuốc súng	火药
Bọ lửa	火虫
Báo cháy	火警
Tàu hỏa	火车
Nóng bỏng	火辣
Lẩu	火锅
Chim lửa	火鸟
Gà tây	火鸡
Sự diệt vong	灭亡
Bất hoạt	灭活
Dập tắt đám cháy	灭火
Sự tuyệt chủng	灭绝
Tiệt trùng	灭菌
Diệt muỗi	灭蚊
Chống đói nghèo	灭贫
Dây tóc	灯丝
Ánh sáng	灯光
Đèn chiếu sáng	灯具
Ngọn hải đăng	灯塔
Đui đèn	灯头
Đui đèn	灯座
Cột đèn	灯柱
Bóng đèn	灯泡
Ánh sáng rực rỡ	灯火
Đèn lồng	灯笼
Hộp đèn	灯箱
Nhóm đèn	灯组
Chụp đèn	灯罩
Lễ hội ánh sáng	灯节
Ánh sáng	灯饰
Tro bụi	灰分
Hố tro	灰坑
Bụi bặm	灰尘
đá vôi	灰岩
Sự u ám	灰暗
Chiếc cốc màu xám	灰杯
Thạch cao	灰泥
Vữa	灰浆
Tro, xỉ	灰渣
Tro tàn	灰烬
Gấu xám	灰熊
Greyhound	灰狗
Sói xám	灰狼
Màu xám	灰白
Màu xám	灰色
Chất xám	灰质
Cá voi xám	灰鲸
Nhà ngoại cảm	灵媒
Sự khéo léo	灵巧
Tâm linh	灵性
Cảm hứng	灵感
Nhạy cảm	灵敏
Quan tài	灵柩
Linh hoạt	灵活
Cầy hương	灵猫
Xe tang	灵车
Lington	灵顿
Linh hồn	灵魂
Những vết bỏng	灼伤
Nóng bỏng	灼热
Các khu vực bị ảnh hưởng	灾区
Thảm họa	灾害
Tình hình thảm họa	灾情
Các nạn nhân của thảm họa	灾民
Thảm họa	灾祸
Thảm họa	灾难
Rực rỡ	灿烂
Bếp lò	炉子
Xỉ lò	炉渣
Vụ hỏa hoạn	炉火
Bếp lò	炉灶
Lò nung	炉膛
Dụng cụ nấu ăn	炊具
Nắng nóng	炎热
Tình trạng viêm nhiễm	炎症
Sự cường điệu	炒作
Các món xào	炒菜
Chảo	炒锅
Mì xào	炒面
Cơm chiên	炒饭
Canh hầm	炖汤
Món hầm	炖菜
Gà hầm	炖鸡
Thể hiện sự giàu có	炫富
Thể hiện kỹ năng	炫技
Chói lóa	炫目
Thể hiện	炫耀
Bệnh than	炭疽
Pháo binh	炮兵
Pháo kích	炮击
Pháo đài	炮台
Tháp pháo	炮塔
Đạn pháo	炮弹
Các xạ thủ	炮手
Hỏa lực pháo binh	炮火
Thùng súng	炮筒
Nòng súng	炮管
Xe pháo	炮车
Pháo kích	炮轰
Bị thương	炸伤
Bùng nổ	炸开
Quả bom	炸弹
Cho nổ tung	炸掉
Làm chết người.	炸死
Cho nổ tung	炸毁
Thuốc nổ	炸药
Vụ nổ	炸飞
Gà rán	炸鸡
Chỉ điểm thôi.	点上
Trong số các điểm	点中
Thắp sáng	点亮
Điểm tám	点八
Điểm sáu	点六
Bấm vào	点击
Một nửa điểm	点半
Điểm danh	点名
Nhiều hơn.	点多
Gật đầu	点头
Ý tưởng	点子
Đồ ăn nhẹ	点心
Theo yêu cầu	点播
Số điểm	点数
Điểm kiểm tra	点查
Nguồn điểm	点源
Từng chút một	点滴
Đánh lửa	点火
Thắp sáng đèn	点灯
Một chút thôi.	点点
Thắp sáng	点燃
Một quả phạt đền	点球
Chỉnh trang	点缀
Đặt hàng	点菜
Nhận xét về	点评
Những lời khen ngợi	点赞
Thắp sáng	点起
Đặt hàng	点餐
Sữa đặc	炼乳
Tinh chế	炼制
Lọc dầu	炼油
Luyện ngục	炼狱
Phim dở	烂片
Răng thối rữa	烂牙
Các hydrocacbon	烃类
Các liệt sĩ	烈士
Ngọn lửa bùng cháy dữ dội	烈火
Linh hồn	烈酒
Sấy khô	烘干
Nướng bánh	烘烤
Nướng bánh	烘焙
Lò sấy	烘箱
Dấu ấn	烙印
Mỏ hàn	烙铁
Chân đèn	烛台
Thuốc lá vụn	烟丝
Những đám mây khói	烟云
Nhà máy sản xuất thuốc lá	烟厂
Lá thuốc lá	烟叶
Ống khói	烟囱
Tàn thuốc lá	烟头
Khói bụi	烟尘
Màn khói	烟幕
Thuốc lào	烟斗
Súng hút thuốc	烟枪
Cột khói	烟柱
Người hút thuốc lá	烟民
Khói bụi	烟气
Pháo hoa	烟火
Bồ hóng	烟灰
Than bitum	烟煤
Nicotine	烟碱
Pháo hoa	烟花
Thuốc lá	烟草
Niacin	烟酸
Khói bụi	烟雾
Xiên nướng	烤串
Nướng	烤制
Vỉ nướng	烤架
Lò nướng	烤炉
Thuốc lá xông khói	烤烟
Khay nướng	烤盘
Lò nướng	烤箱
Thịt nướng	烤肉
Đậu nướng	烤豆
Bánh nướng	烤饼
Cá nướng	烤鱼
Gà quay	烤鸡
Vịt quay	烤鸭
Khó chịu	烦人
Nỗi lo	烦恼
Những phiền toái	烦扰
đứng ngồi không yên	烦躁
Bỏng	烧伤
Đốt cháy	烧制
Đốt cháy	烧坏
Đốt cháy	烧性
Đốt cháy thành	烧成
Đốt cháy	烧掉
Những chiếc cốc	烧杯
Đốt cháy	烧死
Đốt cháy	烧毁
Nước sôi	烧水
Thịt nướng	烧烤
Cháy xém	烧焦
Bình	烧瓶
Xút ăn da	烧碱
Thiêu kết	烧结
Đốt đất hoang	烧荒
Thắp hương	烧香
Món risotto	烩饭
Vết bỏng	烫伤
Uốn tóc	烫发
Truyền nhiệt	热传
Nhiệt trị	热值
Tottenham	热刺
Sức nóng	热力
Bản đồ nhiệt	热图
Công nhân nhiệt	热工
Nhiệt đới	热带
Ghế nóng	热席
Sức nóng	热度
Tính chất nhiệt	热性
Tình yêu nồng nàn	热恋
Nhiệt huyết	热情
Phát sóng nóng	热播
Phản xạ nhiệt	热映
Tấm nóng	热板
Thanh nóng	热棒
Khí nóng	热气
Nước nóng	热水
Phương pháp nhiệt	热法
Bơm nhiệt	热泵
Đợt nắng nóng	热浪
Tắm nóng	热浴
Cơn sốt	热潮
Nóng bỏng	热火
Những điểm nóng	热点
Nhiệt huyết	热烈
Tình yêu thương	热爱
Xúc xích	热狗
Đường dây nóng	热线
Sức nóng của các mối quan hệ	热络
Mạng lưới sưởi ấm	热网
Năng lượng nhiệt	热能
Trà nóng	热茶
Niềm đam mê	热衷
Những chiếc quần nóng bỏng	热裤
Nhiệt phân	热解
Nóng bỏng cuộc thảo luận	热议
Khởi động	热身
Cán nóng	热轧
Nóng bỏng	热辣
Sức nóng	热量
Bán chạy hàng nóng	热销
Nóng bỏng	热门
Nhộn nhịp	热闹
Đồ uống nóng hổi	热饮
Olefin	烯烃
Enyl este	烯酯
Axit enoic	烯酸
Enol	烯醇
Enal	烯醛
Alkyl	烷基
Các ankan	烷烃
Axit alkanoic	烷酸
Alkanol	烷醇
Alkanđehit	烷醛
Alkammonium	烷铵
Nấu ăn	烹调
Nấu ăn	烹饪
Người thợ hàn	焊工
Hàn	焊接
Chất hàn	焊料
Máy hàn	焊机
Ống hàn	焊管
Mối hàn	焊缝
Thiêu hủy	焚化
Đốt cháy	焚毁
Đốt cháy	焚烧
Luyện cốc	焦化
Mùi khét	焦味
Tar	焦油
Lò luyện cốc	焦炉
Than cốc	焦炭
Tiêu điểm	焦点
Caramel	焦糖
Joule	焦耳
Nỗi lo lắng	焦虑
Pháo hoa	焰火
Sau đó,	然后
Tuy nhiên,	然而
Nung	煅烧
Chiên	煎炸
Nỗi day dứt	煎熬
Trứng chiên	煎蛋
Chảo rán	煎锅
Bánh xèo	煎饼
Nhà máy than	煤厂
Khí đốt	煤气
Dầu hỏa	煤油
Than đá	煤炭
Những viên than	煤球
Các mỏ than	煤矿
Cá than	煤鱼
Thắp sáng	照亮
Ghi chú	照会
Chiếu xạ	照射
Như thường lệ	照常
Độ rọi	照度
Chăm sóc	照料
Ánh sáng	照明
Ánh đèn chiếu sáng	照灯
Ảnh chụp	照片
Chụp ảnh	照相
Chăm sóc	照看
Chăm sóc	照管
Tỏa sáng	照耀
Quan tâm chăm sóc	照顾
Đun sôi	煮沸
Nấu chín	煮熟
Thịt luộc	煮肉
Kích động	煽动
Tắt lửa	熄火
Dập tắt	熄灭
Tắt đèn	熄灯
Thị trường con gấu	熊市
Kumamoto	熊本
Trái cây gấu	熊果
Gấu trúc	熊猫
Những ổ gấu	熊窝
Tai gấu	熊耳
Cỏ gấu	熊草
Những chú gấu	熊队
Hun khói	熏制
Hun khói đến chết.	熏死
Thịt xông khói	熏肉
Khử trùng	熏蒸
Cá hun khói	熏鱼
Thông lượng	熔剂
Sự tan chảy	熔化
Dung nham	熔岩
Cầu chì	熔断
Sự tan chảy	熔毁
Lò nung	熔炉
Điểm nóng chảy	熔点
Nấu chảy	熔炼
Người quen	熟人
Quen thuộc	熟悉
Clanhke	熟料
Ngủ say	熟睡
Quen thuộc	熟知
Có kỹ năng	熟练
Thức ăn chín	熟食
Bàn là	熨斗
ủi	熨烫
Đầu đốt	燃器
Trình làng	燃放
Nhiên liệu	燃料
Khí đốt	燃气
Nhiên liệu	燃油
Đốt cháy	燃烧
Mức tiêu hao nhiên liệu	燃耗
Đốt cháy	燃起
Đuôi chim én	燕尾
Chim nhạn biển	燕鸥
Yến mạch	燕麦
Đá lửa	燧石
Rực rỡ...	爆冷
Bùng nổ	爆出
Bùng phát dịch	爆发
Đạn nổ	爆弹
Vụ nổ	爆料
Vụ nổ	爆棚
Đầy đủ	爆满
Vụ nổ	爆炸
Vụ nổ mìn	爆破
Trộm cắp	爆窃
Pháo nổ	爆竹
Buồn cười	爆笑
Vụ nổ ống	爆管
Bùng nổ đỏ rực	爆红
Lốp nổ	爆胎
Bùng nổ đồng hồ	爆表
Bùng nổ	爆裂
Dấu chân	爪印
Java	爪哇
Móng vuốt	爪子
Trèo lên	爬升
Leo núi	爬坡
Leo núi	爬山
Trèo lên cây	爬树
Trình thu thập thông tin	爬虫
Bò	爬行
Người yêu thương	爱人
Ellen.	爱伦
Yêu nước	爱国
Sở thích	爱好
Aiko.	爱子
Tổ ấm tình thương	爱巢
Tình yêu thương	爱心
Tình yêu	爱情
Tình yêu thương	爱意
Tình yêu thương	爱戴
Vuốt ve	爱抚
Dòng sông yêu thương	爱河
Những chú chó cưng	爱犬
Danh hiệu hiệp sĩ	爵位
Thưa ngài.	爵士
Người cha	父亲
Hai cha con	父子
Tình cha con	父性
Các bậc phụ huynh	父母
Người cha	父级
Ông nội	爷爷
Bố ơi.	爸爸
Trong một khoảnh khắc	片刻
Viên nén	片剂
Tiêu đề phim	片名
Trường quay	片场
Những bộ phim	片子
Mảnh vỡ	片断
Tấm	片材
Mảnh vỡ	片段
Chế độ đãi ngộ	片酬
Người điều hành	版主
Bản đồ lãnh thổ	版图
Phần	版块
Định dạng	版式
Những tấm	版张
Phiên bản	版本
Bản quyền tác giả	版权
Bản in	版画
Tiền bản quyền	版税
Bố cục	版面
Tấm bảng	牌匾
Sân chơi bài	牌场
Cổng tò vò	牌坊
Thương hiệu	牌子
Giấy phép	牌照
Vương miện răng	牙冠
Bàn chải đánh răng	牙刷
Nha sĩ	牙医
Niềng răng	牙套
Nha khoa	牙科
Tăm xỉa răng	牙签
Chỉ nha khoa	牙线
Kem đánh răng	牙膏
Cá bơn Nhật Bản	牙鲆
Răng	牙齿
Nướu răng	牙龈
Sữa bò	牛乳
Cao bồi	牛仔
Đầu bò	牛头
Sữa	牛奶
Thị trường tăng giá	牛市
Bít tết	牛排
Chuồng bò	牛棚
Bơ	牛油
Oxford	牛津
Con bê	牛犊
Mắt bò	牛眼
Cơm bò	牛米
